date,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
17-Nov,3.6,2.433333333,2.733333333,2.566666667,1.514285714,3.171428571,2.628571429,3.171428571,0.371428571,2.425,0.6625,3.1875,1.4,1.577777778,1.855555556,2.644444444,0.481818182,0.745454546,2.636363636,1.336363636,2.845454546,0.754545455,1.881818182,1.781818182,2.163636364,0,0.990909091,2.763636364,1.545454546,1.872727273,0.918181818,1.290909091,0.727272727
18-Nov,3.883333333,2.383333333,2.766666667,2.75,1.457142857,3.514285714,2.642857143,3.142857143,0.385714286,2.5125,0.6625,3.2125,1.575,1.611111111,1.877777778,2.633333333,0.481818182,0.745454546,2.663636364,1.354545455,2.863636364,0.727272727,1.909090909,1.8,2.445454546,0.181818182,1.463636364,2.754545455,1.536363636,1.881818182,0.890909091,1.290909091,0.736363636
19-Nov,4.366666667,2.383333333,2.916666667,2.783333333,1.442857143,3.628571429,2.671428571,3.114285714,0.357142857,2.5875,0.8375,3.1875,1.6375,1.644444444,1.966666667,2.6,0.481818182,0.745454546,2.663636364,1.354545455,2.872727273,0.690909091,1.945454546,1.827272727,2.527272727,0.227272727,1.454545455,2.736363636,1.536363636,1.881818182,0.936363636,1.263636364,0.763636364
20-Nov,4.583333333,2.433333333,2.933333333,3.033333333,1.428571429,3.571428571,2.7,3.085714286,0.385714286,2.5875,0.8,3.1625,1.65,1.577777778,1.855555556,2.611111111,0.5,0.727272727,2.654545455,1.345454546,2.881818182,0.654545455,2.009090909,1.836363636,2.527272727,0.281818182,1.454545455,2.763636364,1.527272727,1.836363636,0.945454546,1.272727273,0.818181818
21-Nov,4.716666667,2.916666667,2.95,3.516666667,1.414285714,3.385714286,2.857142857,3.114285714,0.385714286,2.5875,0.7625,3.15,1.6375,2.055555556,1.888888889,2.666666667,0.490909091,0.718181818,2.672727273,1.390909091,2.881818182,0.654545455,2.090909091,1.836363636,2.5,0.318181818,1.490909091,2.781818182,1.681818182,1.818181818,1,1.290909091,0.981818182
22-Nov,4.766666667,2.966666667,2.966666667,3.666666667,1.414285714,3.357142857,2.957142857,3.128571429,0.5,2.5875,0.8,3.0875,1.675,2.255555556,1.9,2.655555556,0.490909091,0.727272727,2.672727273,1.581818182,2.9,0.654545455,2.390909091,1.845454546,2.5,0.554545455,1.554545455,2.781818182,2.027272727,1.872727273,0.972727273,1.309090909,0.990909091
23-Nov,4.833333333,3.033333333,3.116666667,3.683333333,1.414285714,3.471428571,2.971428571,3.071428571,0.628571429,2.6125,1.075,3.05,1.6875,2.233333333,1.911111111,2.677777778,0.5,0.727272727,2.672727273,1.609090909,2.918181818,0.618181818,2.963636364,2,2.518181818,0.763636364,1.563636364,2.972727273,2.345454546,2.009090909,1,1.281818182,0.990909091
24-Nov,4.866666667,3.25,3.333333333,3.683333333,1.428571429,3.657142857,3,3.071428571,0.671428571,2.5625,1.325,3.1,1.775,2.311111111,1.888888889,2.6,0.718181818,0.709090909,2.690909091,1.636363636,2.927272727,0.618181818,3.045454546,2.181818182,2.527272727,0.718181818,1.545454546,3.018181818,2.345454546,2.190909091,1.063636364,1.354545455,1
25-Nov,4.95,3.266666667,3.366666667,3.7,1.428571429,3.714285714,3.014285714,3.028571429,0.685714286,2.5625,1.425,3.1,1.875,2.366666667,1.9,2.633333333,0.790909091,0.709090909,2.690909091,1.690909091,2.927272727,0.618181818,3.490909091,2.281818182,2.518181818,0.709090909,1.490909091,3.245454546,2.354545455,2.509090909,1.290909091,1.427272727,1.218181818
26-Nov,5.016666667,3.316666667,3.416666667,3.716666667,1.428571429,3.8,3.014285714,3.014285714,0.771428571,2.5375,1.7875,3.075,1.925,2.377777778,1.911111111,2.633333333,0.818181818,0.709090909,2.7,1.709090909,2.954545455,0.6,3.709090909,2.572727273,2.536363636,0.718181818,1.490909091,3.245454546,2.481818182,2.509090909,1.336363636,1.472727273,1.281818182
27-Nov,5.083333333,3.383333333,3.45,3.883333333,1.728571429,4.057142857,3.271428571,3.014285714,0.785714286,2.55,1.8,3.0625,2.05,2.477777778,1.966666667,2.6,0.827272727,0.745454546,2.709090909,1.727272727,2.954545455,0.581818182,3.709090909,2.6,2.581818182,0.809090909,1.463636364,3.290909091,2.672727273,2.509090909,1.345454546,1.536363636,1.327272727
28-Nov,5.116666667,3.383333333,3.5,3.983333333,1.985714286,4.185714286,3.671428571,2.971428571,0.785714286,2.5625,1.7625,3.05,2.075,2.744444444,1.955555556,2.677777778,0.836363636,0.9,2.7,1.736363636,2.945454546,0.572727273,3.718181818,2.609090909,2.854545455,1.2,1.463636364,3.372727273,2.845454546,2.5,1.336363636,1.618181818,1.327272727
29-Nov,5.133333333,3.416666667,3.516666667,4.1,2.028571429,4.342857143,4.842857143,2.928571429,0.757142857,2.5375,1.875,3.1,2.1375,3.011111111,1.944444444,2.866666667,0.836363636,1.109090909,2.672727273,1.772727273,2.954545455,0.572727273,3.727272727,2.590909091,2.963636364,1.263636364,1.454545455,3.436363636,2.927272727,2.5,1.345454546,1.672727273,1.327272727
30-Nov,5.616666667,3.466666667,3.5,4.166666667,2.028571429,4.542857143,4.842857143,2.885714286,0.742857143,2.525,1.9375,3.0875,2.1375,3.122222222,2.1,3.077777778,0.872727273,1.290909091,2.663636364,1.818181818,2.954545455,0.563636364,3.727272727,2.563636364,3.081818182,1.272727273,1.445454546,3.445454546,3.4,2.5,1.354545455,1.772727273,1.336363636
1-Dec,5.766666667,3.533333333,3.55,4.2,2,4.642857143,4.857142857,2.871428571,0.742857143,2.4875,2.025,3.0875,2.1125,3.222222222,2.177777778,3.211111111,1.527272727,1.663636364,2.663636364,1.890909091,2.972727273,0.581818182,3.736363636,2.536363636,3.127272727,1.3,1.436363636,3.509090909,3.445454546,2.518181818,1.354545455,1.854545455,1.436363636
2-Dec,5.85,3.533333333,3.566666667,4.183333333,1.971428571,4.671428571,4.942857143,2.842857143,0.771428571,2.475,2.1,3.0625,2.1125,3.2,2.388888889,3.177777778,2.645454546,1.7,2.663636364,1.963636364,3.063636364,0.572727273,3.772727273,2.536363636,3.136363636,1.318181818,1.445454546,3.490909091,3.490909091,2.7,1.3,1.890909091,1.581818182
3-Dec,5.916666667,3.566666667,3.6,4.183333333,1.971428571,4.757142857,5.1,2.828571429,0.885714286,2.45,2.1625,3.0625,2.1125,3.277777778,2.633333333,3.255555556,2.663636364,1.745454546,2.7,1.972727273,3.154545455,0.572727273,3.772727273,2.545454546,3.2,1.518181818,1.445454546,3.709090909,3.536363636,2.736363636,1.272727273,1.963636364,1.745454546
4-Dec,5.916666667,3.6,3.65,4.183333333,1.957142857,4.814285714,5.3,2.842857143,1.514285714,2.4375,2.1625,3.2,2.1125,3.355555556,2.788888889,3.377777778,2.745454546,1.772727273,2.727272727,1.972727273,3.536363636,0.581818182,3.963636364,2.554545455,3.218181818,1.518181818,1.463636364,3.736363636,3.518181818,2.754545455,1.272727273,2.063636364,1.981818182
