date,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,0-Min,Min-10%,10%-30%,Stats. Shading,70%-90%,90%-Max,Median (POR)
11-19,35.8442835557,56.6159158165,34.0884439085,54.0915330214,64.2699567206,51.6444642102,48.1692859927,69.2131914974,48.7118798612,47.6342987416,56.0393986267,29.108177823,62.5716207147,41.5478557294,29.108177823,34.4396118379,47.9552910922,56.2700055026,63.9302895194,69.2131914974,51.6444642102
11-20,36.5675121826,56.8271799132,33.8091668651,54.2475395647,64.8348442627,51.4123574593,47.867981865,68.7972024384,48.9324387942,47.431888952,57.1296293306,28.5202919956,61.5941012599,41.7601057448,28.5202919956,34.3608359286,47.6935446998,56.9481596801,64.1866956622,68.7972024384,51.4123574593
11-21,36.065764774,57.3472181498,33.4753895144,54.4114509485,64.1353249624,52.368829684,47.361542258,68.7719007188,47.9894487938,47.9152339006,57.4045170211,28.5104821632,59.41061306,41.4857050217,28.5104821632,33.9934645663,47.6937572436,57.3701376983,63.1903825819,68.7719007188,52.368829684
11-22,35.6313381039,57.1679416379,33.2590000446,54.5296383299,64.2922209608,52.5119084408,48.7402429615,68.4977280672,48.1544344397,47.4968212843,56.9285066899,28.7951182091,56.8424305213,41.6319243053,28.7951182091,33.7334676565,47.8913891775,56.8768609887,62.8673650962,68.4977280672,52.5119084408
11-23,36.1038607041,56.8270697191,33.2788479718,54.1414396422,63.8083873195,51.8916851517,47.7927145064,68.3089675956,47.6034345458,47.6073417851,57.0840626724,28.6936053177,56.0294916002,41.8306006894,28.6936053177,33.8438505183,47.6057788893,56.3485228477,62.46352239,68.3089675956,51.8916851517
11-24,36.0820463433,57.1849525739,32.6130327081,53.8442193401,64.1939464173,51.9422492535,48.1257006173,68.0254924776,47.0865611903,47.2849435359,57.3367493806,28.2961505141,55.3374279289,41.5377262086,28.2961505141,33.3068354352,47.2055905977,56.0764377869,62.8225070099,68.0254924776,51.9422492535
11-25,35.5022075467,57.8557718717,32.3514007671,53.5713178374,63.8397124099,52.6905337144,47.8762260733,68.0712244478,47.5476451599,47.2487085187,57.1868038116,31.6059920577,54.765332565,41.4466818108,31.6059920577,32.981562123,47.4280705034,55.7339210637,62.6429243023,68.0712244478,52.6905337144
11-26,35.4928938211,57.0295571294,31.6449913874,53.720881386,63.7127415154,52.8429153284,47.6743622924,68.484523462,47.5316723314,48.1068360252,57.0397319255,32.1413510594,54.3189354121,41.7376076587,31.6449913874,32.8116596117,47.617286308,55.403184099,62.3781395974,68.484523462,52.8429153284
11-27,35.2477203501,57.0179020598,30.6150403795,53.8973761646,64.0694384758,52.5655799272,47.3031642512,67.9822320882,47.0806745595,47.2084796362,56.6776571084,28.4766663425,54.1167458081,41.5184899256,28.4766663425,31.5415763736,47.1573576055,55.1411103283,62.6591311926,67.9822320882,52.5655799272
11-28,34.8973667499,57.0824485087,29.0402207904,53.5788657117,63.7754147617,52.4055058554,47.1290593172,68.0938850556,47.457348824,47.8299749769,56.3996560369,28.1398359472,53.9277529388,41.0730750249,28.1398359472,30.2116499823,47.3260330212,54.916514178,62.4368215111,68.0938850556,52.4055058554
11-29,34.3649021727,56.2403937488,28.7956224077,53.7483381614,63.8524994207,52.8108732889,47.2199665446,68.3923586772,47.6261436035,47.8042273484,56.2192959656,28.2884954168,53.9474201719,40.5824876944,28.2884954168,29.9094783607,47.46367278,54.8561704894,62.3300782863,68.3923586772,52.8108732889
11-30,26.5587085804,52.9341999989,28.431877102,53.5127988676,64.7513141126,52.8479931183,46.7905471805,68.1836367761,46.6858383424,47.6278432145,56.2949297756,28.2978231249,53.7021064648,40.1619551923,26.5587085804,28.3246339203,46.7486636453,53.5885219065,63.0600372452,68.1836367761,52.8479931183
12-01,34.0386239975,55.4981847682,27.5329171708,53.5759824343,64.8500883992,54.0140469413,46.87759013,68.0280192504,47.9995423665,47.9460033167,56.0347850491,28.1761280134,53.5585575196,39.6109532318,27.5329171708,29.3486272103,47.518638042,54.6077020721,63.0870277292,68.0280192504,53.5585575196
12-02,34.1424678539,55.76141915,27.3442309974,53.1289104031,65.3237615964,53.6205587548,46.4580994557,67.8320304167,49.4763196368,47.4535132528,55.2670711046,28.2804172387,53.6312407611,39.2057007471,27.3442309974,29.4528273617,47.055347734,54.2855728985,63.4112931071,67.8320304167,53.1289104031
12-03,34.0217456552,55.5583321565,26.4811744843,53.3185859094,65.1968319355,54.0106238029,46.1927355395,67.6162659235,49.9045309446,48.0354195129,54.9031768448,28.027347074,53.7023848648,38.378989538,26.4811744843,29.2262267902,47.2983459235,54.3676450196,63.2691319797,67.6162659235,53.3185859094
12-04,26.6150747636,54.4774618528,27.0420883477,53.19772337,65.23231185,54.2448309093,45.9346298395,67.3570911791,49.8331654416,47.5429260719,53.9035837159,28.0370038301,53.5440789028,37.9789920805,26.6150747636,27.2410714441,46.8996075789,54.0400825932,63.0813418506,67.3570911791,53.19772337
12-05,34.3624252148,54.4918880908,26.6158797626,52.99638485,65.8232050475,54.7379833664,45.50976283,67.4653496565,49.3285738502,47.5709414662,52.6505514367,28.2263535176,53.9355874153,38.139809367,26.6158797626,29.453567857,46.7464700118,54.1581076855,63.6061607113,67.4653496565,52.6505514367
12-06,34.3483909277,54.252711277,26.586271061,53.1338027744,65.7443103419,54.2487075102,45.4477264148,67.5825676332,48.7551662393,47.1715197773,51.7317737,27.9929580575,54.0575218494,38.2013341083,26.586271061,29.2640446316,46.4820024323,54.1339961137,63.4459905289,67.5825676332,51.7317737
12-07,34.6724620178,53.8352183498,26.0531344032,52.5479143463,65.3131996161,55.0005765529,45.3759687841,66.9840745544,48.0471124821,47.6185721391,51.2891713726,28.0861186699,54.5108845526,38.1291346107,26.0531344032,29.4033873395,46.7215307971,54.1054848309,63.2506750035,66.9840745544,51.2891713726
12-08,34.3424588891,53.1479923442,26.5179748422,52.5142100771,65.5164441883,54.6946801196,44.9048016134,66.2812037433,47.9142973866,47.9443634064,51.3960068297,28.1368522798,54.6554408274,37.9463702281,26.5179748422,29.3779736016,46.7104990773,53.7509717374,63.3520913746,66.2812037433,51.3960068297
12-09,34.3189294475,52.6599273907,25.7583341102,52.2882255925,65.1955094643,54.9926254568,44.6848801807,65.9750036573,48.0606850568,47.6440857805,50.7363065471,33.0853165445,55.024172322,37.6405043593,25.7583341102,33.3320391251,46.4604035406,53.5930066172,63.1612420359,65.9750036573,50.7363065471
12-10,34.7116171075,52.2338457966,25.424233494,51.903219319,65.1141611538,54.7124313144,44.6214449857,64.9778983325,48.6352857021,47.3121323851,50.950868221,32.2340944644,54.128286045,37.8297620096,25.424233494,32.729598993,46.2358574253,52.991621896,62.9248049288,65.1141611538,50.950868221
12-11,34.5109915163,51.2604539203,25.3693974434,51.8075081702,65.2763689103,54.3939980332,44.2628654434,64.5892161005,48.1829258489,47.0248424979,50.3130343995,30.4372727532,53.4074150927,37.6081011937,25.3693974434,31.2520165058,45.9200516761,52.4474709392,62.5501724871,65.2763689103,50.3130343995
12-12,34.8429560728,50.2966802979,24.9847129696,51.4322967993,64.838877304,54.8779233476,44.4703530273,64.958965534,48.3312163039,47.5184039461,50.523376757,31.2087694767,52.9254597843,37.7355288228,24.9847129696,31.9356067959,46.2991835786,52.0295619933,62.8466865127,64.958965534,50.2966802979
12-13,33.5536290816,50.0591226322,24.7060523894,50.7649076216,64.5338729529,54.176908406,44.5877530641,63.8047184432,48.7863136787,47.5359223171,50.1398723532,30.7958278352,52.8063710587,37.6957015628,24.7060523894,31.3473880845,46.3566546159,51.5814929964,61.8791564357,64.5338729529,50.0591226322
12-14,33.9269545513,50.1355440716,25.0018742123,50.5531394362,64.2036601409,54.9670916509,44.8505601494,62.5038280963,48.2388666495,47.5254823536,50.4047386011,30.8867456559,52.4684213764,37.4599151276,25.0018742123,31.494787435,46.4555134719,51.3192522123,60.9964808072,64.2036601409,50.1355440716
12-15,34.4287394543,49.3869536682,24.8542362425,49.8157461969,64.0105148448,54.6814211008,45.4894239176,62.6934266377,48.1171771396,47.6927584902,50.145304752,30.6915865556,52.1064445484,37.5284478603,24.8542362425,31.4390171354,46.8114246612,50.9297606705,61.0910255303,64.0105148448,49.3869536682
12-16,34.2959851515,49.4381379947,24.2717826665,49.4447387551,63.8358404142,55.0219969769,44.7503165835,62.0834675815,47.6401871672,47.3676130962,49.867652125,30.3841884207,51.5802225926,37.4735084448,24.2717826665,31.1665477668,46.3206944911,50.552680312,60.6711734606,63.8358404142,49.4381379947
12-17,34.4568629523,49.5237565905,24.2986034087,48.8230626904,63.8987863446,54.9540838989,44.5246205631,61.7060585807,47.8944184404,48.1303047566,49.7736881858,29.9619123203,51.0360098986,37.4058447602,24.2986034087,30.8609024467,46.5464992895,50.278616871,60.3556636444,63.8987863446,48.8230626904
